video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=X4bOMY6C7XA&pp=ygUQZGVtb2NyYXRpYyBwYXJ0eQ%3D%3D,/@msnow,MS NOW,Democrats are weighing impeachment vs. winning,144K,1 day,"Ali Vitali and Mychael Schnell discuss new reporting 'A year into Trump's second term, Democrats weigh impeachment vs.",2026-01-21 22:55:44.549619
/watch?v=2wabjEP-GjQ&pp=ygUQZGVtb2NyYXRpYyBwYXJ0eQ%3D%3D,/@CNN,CNN,New poll: Democrats seize advantage heading into midterms,224K,3 days,The Democratic Party has a deeply motivated base and a clear advantage on the generic congressional ballot ahead of this fall's ...,2026-01-21 22:55:44.551562
/watch?v=Z6R0NvVr164&pp=ygUQZGVtb2NyYXRpYyBwYXJ0eQ%3D%3D,/@Vox,Vox,From white supremacy to Barack Obama: The history of the Democratic Party,3.2M,9 years,The party completely flipped. Watch the history of the Republican Party: https://www.youtube.com/watch?v=s8VOM8ET1WU ...,2026-01-21 22:55:44.553251
/watch?v=ehD3MEz1B2g&pp=ygUQZGVtb2NyYXRpYyBwYXJ0eQ%3D%3D,/@grahamformaine,Graham Platner for Senate,Fireside Chat: FDR's Legacy and the Democratic Party,9.7K,1 day,"In the first episode of Fireside Chats, I wanted to read through a section of Volume 1 of Arthur M. Schlesinger's series The Age of ...",2026-01-21 22:55:44.555232
/shorts/8aHqjWZ-JLY,/@NBCNews,NBC News,Former Biden press secretary Karine Jean-Pierre says she is leaving the Democratic Party,77K,7 months,Former #Biden press secretary #KarineJean-Pierre says she is leaving the #DemocraticParty. For more context and news ...,2026-01-21 22:55:44.556642
/watch?v=g_a7dQXilCo&pp=ygUQZGVtb2NyYXRpYyBwYXJ0eQ%3D%3D,/@PragerU,PragerU,The Inconvenient Truth About the Democratic Party | 5 Minute Videos | PragerU,10M,8 years,"Did you know that the Democratic Party defended slavery, started the Civil War, founded the KKK, and fought against every major ...",2026-01-21 22:55:44.558990
/shorts/ulHcXDygWSU,/@GBHNews,GBH News,What does the Democratic party stand for in 2025? #politics #democrats,5.6K,7 months,"After the 2024 election loss, Democrats are grappling with rebuilding the party. What do Democrats stand for? Young voters ...",2026-01-21 22:55:44.560753
/watch?v=wkNBEYiv32g&pp=ygUQZGVtb2NyYXRpYyBwYXJ0eQ%3D%3D,/@VOANews,Voice of America,The history of the US Democratic Party | VOANews,11K,1 year,The United States has two majority political parties: Democratic and Republican. Here is a look at the history of the Democratic ...,2026-01-21 22:55:44.562013
/shorts/xN5z9XkrYbw,/@hawkpodcasts,Hawk's Podcasts / mdg650hawk,The Democratic Party #duet #democrats #democraticparty #revolution #passive #sad #republican #sad,37K,1 day,The Democratic Party Duet with: https://www.tiktok.com/@stephanieedd If you have the means and want to support Hawk you can ...,2026-01-21 22:55:44.564985
/watch?v=dUZgM25RABQ&pp=ygUQZGVtb2NyYXRpYyBwYXJ0eQ%3D%3D,/@IllustratetoEducate,Illustrate to Educate,Democratic Party Explained 2024 | What is a Democrat? Difference between a Democrat and Republican?,49K,3 years,"In this video, we are going to take a look at the Democratic Party platform to form a clearer picture of what they believe in.",2026-01-21 22:55:44.566673
