video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=8my7PQ_P2Ks&pp=ygUIcG9saXRpY3M%3D,/@ponderingpolitics,Pondering Politics,Fox News panel STUNNED by Trump STUPIDITY,234K,1 day,Donald Trump's Greenland stupidity stunned a right-wing Fox News panel. #politics #news #trump #foxnews #greenland ...,2026-01-21 22:58:40.595845
/shorts/xFwWbgHrZs4,/@FoxNews,Fox News,Trump issues warning on Greenland: 'WE WILL REMEMBER' #foxnews #news #us #fox,22K,1 hour,President Donald Trump re-emphasizes his bid to acquire Greenland from Denmark at the World Economic Forum. #fox #media ...,2026-01-21 22:58:40.597497
/shorts/HXC5PdKccFk,/@Bloomberg-News,Bloomberg News,Trump Says Europe Is Not Heading in the Right Direction,8.6K,4 hours,"Speaking at the World Economic Forum in Davos, President Donald Trump praised his own policies and warns ""Europe is 'not ...",2026-01-21 22:58:40.598836
/shorts/P48XEdKX5s4,/@Bloomberg-News,Bloomberg News,Trump Rebuffs Carney at Davos: 'Canada Should Be Grateful',1.9K,57 minutes,President Donald Trump said he was seeking immediate talks on the US acquiring Greenland while saying he did not plan to use ...,2026-01-21 22:58:40.600085
/shorts/rRWgBaPNmpE,/@FoxNews,Fox News,Trump jokes about a 'nasty' encounter with a binder clip,45K,1 day,"President Donald Trump makes light of a binder clip during press briefing, drawing laughter from the crowd. #fox #media ...",2026-01-21 22:58:40.601340
/shorts/DoRI2_C87qg,/@Bloomberg-News,Bloomberg News,Trump Says He Wants Immediate Talks to Acquire Greenland,7.6K,2 hours,President Donald Trump said he was seeking immediate talks on the US acquiring Greenland while saying he did not plan to use ...,2026-01-21 22:58:40.602615
/watch?v=yJ0P-xkIQHY&pp=ygUIcG9saXRpY3M%3D,/@restispolitics,The Rest Is Politics,The Real Reason Trump Wants Greenland.,344K,1 day,"Watch AD FREE: https://youtu.be/hgPg3waNSU0 Greenland, tariffs, and a presidency that never stops delivering plot twists.",2026-01-21 22:58:40.603784
/shorts/7fZYZx5fhLA,/@Bloomberg-News,Bloomberg News,Trump Says US Won't Use Excessive Force to Acquire Greenland,22K,6 hours,President Donald Trump said he was seeking immediate talks on the US acquiring Greenland while saying he did not plan to use ...,2026-01-21 22:58:40.605009
/shorts/JXKvAYkkRRk,/@WorldTrendsandTruths,World Trends and Truths,Trump Davos: Canada Called Out on Global Stage #politics #canada #usa,543,3 hours,A tense moment at the World Economic Forum just stole the spotlight. Donald Trump took a direct shot at Canada during his ...,2026-01-21 22:58:40.606520
/shorts/ChhCAWNE7ss,/@Bloomberg-News,Bloomberg News,Trump to Meet ‘Various Parties’ Over Greenland in Davos,42K,1 day,President Donald Trump said he will meet with several parties over his ambition to take control of Greenland during the upcoming ...,2026-01-21 22:58:40.607797
/shorts/kGUfof7jvIw,/@Bloomberg-News,Bloomberg News,Trump Invites Putin to Gaza Board of Peace; Macron Declines,35K,1 day,US President Donald Trump confirmed that he invited Russian President Vladimir Putin to join a proposed Board of Peace for ...,2026-01-21 22:58:40.609055
