video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=9nnKeezj03g&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@InsideTheWorldHQ,Inside The World,McConnell Drops the Hammer: GOP Power Shift Signals Trump’s End,34K,8 hours,Today's headlines called it a feud. The viral clips framed it as a personal breakup. But what Mitch McConnell delivered on the ...,2026-01-21 22:53:02.374299
/watch?v=7T7PxQMLTt8&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@khanacademy,Khan Academy,History of the Republican Party | American civics | US government and civics | Khan Academy,286K,9 years,Courses on Khan Academy are always 100% free. Start practicing—and saving your progress—now: ...,2026-01-21 22:53:02.376146
/watch?v=Ene_H7o9qdw&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@USCapitolUnmasked,US Capitol Unmasked,1 MIN AGO: Trump Panics as Republican Senators Revolt Over War Powers Vote | George Will,45K,5 days,"From foreign policy tensions and congressional power struggles to growing fractures inside the Republican Party, this video ...",2026-01-21 22:53:02.377498
/watch?v=DpdQeTMzjKY&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@nowthisimpact,NowThis Impact,Ronald Reagan’s GOP vs. Today’s Republican Party,383K,11 months,"Here's why Ronald Reagan, the GOP's most beloved president, wouldn't recognize today's Republican Party.",2026-01-21 22:53:02.378835
/watch?v=pDFPqve6uEY&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@BloombergOpinion,Bloomberg Opinion,The GOP is running out of time,25K,5 days,"Republicans likely only have a year left to accomplish their agenda — and they don't know what they want, Bloomberg Opinion ...",2026-01-21 22:53:02.381067
/watch?v=TMIB2C4tQ2w&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@VOANews,Voice of America,US Republican Party History,46K,5 years,What does the U.S. Republican party stand for and when did it originate? VOA explains the GOP's long history.,2026-01-21 22:53:02.383046
/watch?v=dkpV1sbuPW8&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@facethenation,Face the Nation,GOP Rep. Mike Turner says Trump's Greenland threats are putting other priorities at risk,135K,3 days,GOP Rep. Mike Turner of Ohio says President Trump's threats over acquiring Greenland are putting his other priorities around the ...,2026-01-21 22:53:02.384316
/watch?v=kNWZ0kokKBc&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@ABCNews,ABC News,Republicans cut Greenland-shaped cake with American flag at Kennedy Center party,2.8K,3 hours,MAGA congressional Republicans and a Romanian right-wing politician were at the Kennedy Center serving themselves a ...,2026-01-21 22:53:02.385594
/watch?v=qrMc0ty5kpU&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@HistoryHub101-00,HistoryHub,The History of the Republican Party #facts,700,1 year,Discover the fascinating history of the Republican Party from its humble beginnings to its current form! #politics #history ...,2026-01-21 22:53:02.386783
/watch?v=cWCvqkMcveU&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@FoxNews,Fox News,'LISTEN CAREFULLY': Ramaswamy lays out 'key lessons' for the Republican Party #shorts #usa #us,201K,2 months,Vivek Ramaswamy lays out 'key lessons' for the Republican Party after Democrats score decisive wins. #fox #media ...,2026-01-21 22:53:02.388046
/watch?v=HD-25L0Asnc&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@IllustratetoEducate,Illustrate to Educate,Republican Party Explained 2024 What is a Republican? Difference between a Democrat and Republican?,110K,3 years,"In this video, we are going to take a look at the Republican Party platform to form a clearer picture of what they believe in.",2026-01-21 22:53:02.389367
/watch?v=9wEty1jv2Ks&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@GOP,GOP,The Republican Party is the party of Unity!,2.4K,1 year,The Republican Party is the party of Unity!,2026-01-21 22:53:02.390903
/watch?v=2HBoEC20Yyg&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@washingtonpostuniverse,Washington Post Universe,Is the Republican party different now??,351K,1 year,"Are Republicans the party of big corporations? Of small businesses? Of union and working-class voters? In some ways, the ...",2026-01-21 22:53:02.392567
/watch?v=4Uf0BrW6ueY&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@readingthroughhistor,Reading Through History,Republican Party Beliefs,32K,9 years,Get the Executive Branch workbook here: ...,2026-01-21 22:53:02.394236
/watch?v=No5h7RDDIAw&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@VeiledVote,Veiled Vote,The Evolution of the Republican Party.,1K,4 months,"The Republican Party, also known as the GOP, was born in the 1850s as the party of Abraham Lincoln—fighting slavery and ...",2026-01-21 22:53:02.395525
/watch?v=XGqxUojgfRY&pp=ygUQcmVwdWJsaWNhbiBwYXJ0eQ%3D%3D,/@rachelmaddow-v2v,rachel maddow,Republicans TURN on Trump After Explosive Phone Call | The Revolt No One Saw Coming,2.4K,9 hours,... Rachel Maddow breaks down the stunning revolt unfolding inside the Republican Party. What was once unwavering loyalty is ...,2026-01-21 22:53:02.396759
